"Notes"	"Census Region"	"Census Region Code"	"County"	"County Code"	"Age of Mother Year"	"Age of Mother Year Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"15 years"	"15"	"2010"	"2010"	14	6700	2.08955
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"16 years"	"16"	"2010"	"2010"	39	6666	5.85059
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"17 years"	"17"	"2010"	"2010"	77	6554	11.74855
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"18 years"	"18"	"2010"	"2010"	131	5624	23.29303
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"19 years"	"19"	"2010"	"2010"	207	4832	42.83940
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"20 years"	"20"	"2010"	"2010"	240	4896	49.01961
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"21 years"	"21"	"2010"	"2010"	205	4753	43.13065
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"22 years"	"22"	"2010"	"2010"	276	4843	56.98947
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"23 years"	"23"	"2010"	"2010"	318	5129	62.00039
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"24 years"	"24"	"2010"	"2010"	307	5011	61.26522
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"25 years"	"25"	"2010"	"2010"	335	4951	67.66310
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"26 years"	"26"	"2010"	"2010"	377	4973	75.80937
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"27 years"	"27"	"2010"	"2010"	420	5233	80.25989
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"28 years"	"28"	"2010"	"2010"	529	5295	99.90557
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"29 years"	"29"	"2010"	"2010"	599	5354	111.87897
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"30 years"	"30"	"2010"	"2010"	734	5616	130.69801
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"31 years"	"31"	"2010"	"2010"	715	5376	132.99851
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"32 years"	"32"	"2010"	"2010"	740	5334	138.73266
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"33 years"	"33"	"2010"	"2010"	697	5501	126.70424
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"34 years"	"34"	"2010"	"2010"	595	5478	108.61628
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"35 years"	"35"	"2010"	"2010"	629	5766	109.08776
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"36 years"	"36"	"2010"	"2010"	536	5714	93.80469
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"37 years"	"37"	"2010"	"2010"	467	6033	77.40759
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"38 years"	"38"	"2010"	"2010"	378	6425	58.83268
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"39 years"	"39"	"2010"	"2010"	335	6999	47.86398
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"40 years"	"40"	"2010"	"2010"	240	7382	32.51151
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"41 years"	"41"	"2010"	"2010"	140	6909	20.26342
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"42 years"	"42"	"2010"	"2010"	106	7266	14.58849
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"43 years"	"43"	"2010"	"2010"	66	7516	8.78127
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"44 years"	"44"	"2010"	"2010"	25	7803	3.20390
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"45 years"	"45"	"2010"	"2010"	27	Not Available	Not Available
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"46 years"	"46"	"2010"	"2010"	14	Not Available	Not Available
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"15 years"	"15"	"2010"	"2010"	30	6011	4.99085
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"16 years"	"16"	"2010"	"2010"	64	6191	10.33759
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"17 years"	"17"	"2010"	"2010"	129	6318	20.41785
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"18 years"	"18"	"2010"	"2010"	197	5726	34.40447
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"19 years"	"19"	"2010"	"2010"	315	5526	57.00326
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"20 years"	"20"	"2010"	"2010"	339	5385	62.95265
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"21 years"	"21"	"2010"	"2010"	340	5268	64.54062
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"22 years"	"22"	"2010"	"2010"	362	5552	65.20173
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"23 years"	"23"	"2010"	"2010"	396	5473	72.35520
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"24 years"	"24"	"2010"	"2010"	432	5666	76.24426
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"25 years"	"25"	"2010"	"2010"	430	5544	77.56133
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"26 years"	"26"	"2010"	"2010"	484	5811	83.29031
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"27 years"	"27"	"2010"	"2010"	480	5610	85.56150
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"28 years"	"28"	"2010"	"2010"	579	5750	100.69565
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"29 years"	"29"	"2010"	"2010"	617	5620	109.78648
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"30 years"	"30"	"2010"	"2010"	662	5720	115.73427
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"31 years"	"31"	"2010"	"2010"	577	5292	109.03250
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"32 years"	"32"	"2010"	"2010"	555	5346	103.81594
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"33 years"	"33"	"2010"	"2010"	505	5196	97.19015
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"34 years"	"34"	"2010"	"2010"	436	5214	83.62102
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"35 years"	"35"	"2010"	"2010"	423	5262	80.38769
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"36 years"	"36"	"2010"	"2010"	330	5349	61.69377
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"37 years"	"37"	"2010"	"2010"	269	5513	48.79376
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"38 years"	"38"	"2010"	"2010"	215	5846	36.77728
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"39 years"	"39"	"2010"	"2010"	194	6379	30.41229
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"40 years"	"40"	"2010"	"2010"	123	6562	18.74429
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"41 years"	"41"	"2010"	"2010"	105	6291	16.69051
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"42 years"	"42"	"2010"	"2010"	58	6349	9.13530
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"43 years"	"43"	"2010"	"2010"	34	6385	5.32498
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"44 years"	"44"	"2010"	"2010"	23	6871	3.34740
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"17 years"	"17"	"2010"	"2010"	10	1297	7.71010
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"18 years"	"18"	"2010"	"2010"	14	986	14.19878
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"19 years"	"19"	"2010"	"2010"	29	827	35.06651
