"Notes"	"State"	"State Code"	"Age of Mother Year"	"Age of Mother Year Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Alabama"	"01"	"13 years"	"13"	"2015"	"2015"	10	Not Available	Not Available
	"Alabama"	"01"	"14 years"	"14"	"2015"	"2015"	40	Not Available	Not Available
	"Alabama"	"01"	"15 years"	"15"	"2015"	"2015"	177	32349	5.47158
	"Alabama"	"01"	"16 years"	"16"	"2015"	"2015"	383	31624	12.11105
	"Alabama"	"01"	"17 years"	"17"	"2015"	"2015"	735	31684	23.19783
	"Alabama"	"01"	"18 years"	"18"	"2015"	"2015"	1305	30694	42.51645
	"Alabama"	"01"	"19 years"	"19"	"2015"	"2015"	2139	30996	69.00890
	"Alabama"	"01"	"20 years"	"20"	"2015"	"2015"	2777	32788	84.69562
	"Alabama"	"01"	"21 years"	"21"	"2015"	"2015"	3163	33494	94.43482
	"Alabama"	"01"	"22 years"	"22"	"2015"	"2015"	3386	33563	100.88490
	"Alabama"	"01"	"23 years"	"23"	"2015"	"2015"	3659	34611	105.71784
	"Alabama"	"01"	"24 years"	"24"	"2015"	"2015"	3809	36489	104.38762
	"Alabama"	"01"	"25 years"	"25"	"2015"	"2015"	3848	36044	106.75841
	"Alabama"	"01"	"26 years"	"26"	"2015"	"2015"	3739	33704	110.93639
	"Alabama"	"01"	"27 years"	"27"	"2015"	"2015"	3888	32170	120.85794
	"Alabama"	"01"	"28 years"	"28"	"2015"	"2015"	3584	31346	114.33676
	"Alabama"	"01"	"29 years"	"29"	"2015"	"2015"	3472	31453	110.38693
	"Alabama"	"01"	"30 years"	"30"	"2015"	"2015"	3285	31535	104.16997
	"Alabama"	"01"	"31 years"	"31"	"2015"	"2015"	3018	30977	97.42712
	"Alabama"	"01"	"32 years"	"32"	"2015"	"2015"	2624	31260	83.94114
	"Alabama"	"01"	"33 years"	"33"	"2015"	"2015"	2317	31461	73.64674
	"Alabama"	"01"	"34 years"	"34"	"2015"	"2015"	2043	31506	64.84479
	"Alabama"	"01"	"35 years"	"35"	"2015"	"2015"	1656	32206	51.41899
	"Alabama"	"01"	"36 years"	"36"	"2015"	"2015"	1288	30725	41.92026
	"Alabama"	"01"	"37 years"	"37"	"2015"	"2015"	1035	30432	34.01025
	"Alabama"	"01"	"38 years"	"38"	"2015"	"2015"	776	30189	25.70473
	"Alabama"	"01"	"39 years"	"39"	"2015"	"2015"	517	29026	17.81162
	"Alabama"	"01"	"40 years"	"40"	"2015"	"2015"	384	30072	12.76935
	"Alabama"	"01"	"41 years"	"41"	"2015"	"2015"	261	29678	8.79439
	"Alabama"	"01"	"42 years"	"42"	"2015"	"2015"	139	30843	4.50670
	"Alabama"	"01"	"43 years"	"43"	"2015"	"2015"	89	32144	2.76879
	"Alabama"	"01"	"44 years"	"44"	"2015"	"2015"	55	33918	1.62156
	"Alabama"	"01"	"45 years"	"45"	"2015"	"2015"	31	Not Available	Not Available
	"Alabama"	"01"	"46 years"	"46"	"2015"	"2015"	10	Not Available	Not Available
	"Alaska"	"02"	"15 years"	"15"	"2015"	"2015"	17	4888	3.47791
	"Alaska"	"02"	"16 years"	"16"	"2015"	"2015"	35	4801	7.29015
	"Alaska"	"02"	"17 years"	"17"	"2015"	"2015"	90	4774	18.85212
	"Alaska"	"02"	"18 years"	"18"	"2015"	"2015"	172	4223	40.72934
	"Alaska"	"02"	"19 years"	"19"	"2015"	"2015"	348	3926	88.63984
	"Alaska"	"02"	"20 years"	"20"	"2015"	"2015"	389	4391	88.59030
	"Alaska"	"02"	"21 years"	"21"	"2015"	"2015"	447	4693	95.24824
	"Alaska"	"02"	"22 years"	"22"	"2015"	"2015"	546	5043	108.26889
	"Alaska"	"02"	"23 years"	"23"	"2015"	"2015"	652	5594	116.55345
	"Alaska"	"02"	"24 years"	"24"	"2015"	"2015"	689	5951	115.77886
	"Alaska"	"02"	"25 years"	"25"	"2015"	"2015"	669	5943	112.56941
	"Alaska"	"02"	"26 years"	"26"	"2015"	"2015"	687	5804	118.36664
	"Alaska"	"02"	"27 years"	"27"	"2015"	"2015"	747	5694	131.19073
	"Alaska"	"02"	"28 years"	"28"	"2015"	"2015"	732	5590	130.94812
	"Alaska"	"02"	"29 years"	"29"	"2015"	"2015"	690	5572	123.83345
	"Alaska"	"02"	"30 years"	"30"	"2015"	"2015"	680	5668	119.97177
	"Alaska"	"02"	"31 years"	"31"	"2015"	"2015"	656	5331	123.05384
	"Alaska"	"02"	"32 years"	"32"	"2015"	"2015"	563	5471	102.90623
	"Alaska"	"02"	"33 years"	"33"	"2015"	"2015"	522	5128	101.79407
	"Alaska"	"02"	"34 years"	"34"	"2015"	"2015"	472	5012	94.17398
	"Alaska"	"02"	"35 years"	"35"	"2015"	"2015"	364	4982	73.06303
	"Alaska"	"02"	"36 years"	"36"	"2015"	"2015"	302	4446	67.92623
	"Alaska"	"02"	"37 years"	"37"	"2015"	"2015"	228	4464	51.07527
	"Alaska"	"02"	"38 years"	"38"	"2015"	"2015"	192	4371	43.92588
	"Alaska"	"02"	"39 years"	"39"	"2015"	"2015"	144	4056	35.50296
	"Alaska"	"02"	"40 years"	"40"	"2015"	"2015"	87	4137	21.02973
	"Alaska"	"02"	"41 years"	"41"	"2015"	"2015"	60	4053	14.80385
	"Alaska"	"02"	"42 years"	"42"	"2015"	"2015"	40	3981	10.04773
	"Alaska"	"02"	"43 years"	"43"	"2015"	"2015"	31	4153	7.46448
	"Alaska"	"02"	"44 years"	"44"	"2015"	"2015"	12	4374	2.74348
	"Arizona"	"04"	"14 years"	"14"	"2015"	"2015"	38	Not Available	Not Available
	"Arizona"	"04"	"15 years"	"15"	"2015"	"2015"	198	45985	4.30575
	"Arizona"	"04"	"16 years"	"16"	"2015"	"2015"	480	44915	10.68685
	"Arizona"	"04"	"17 years"	"17"	"2015"	"2015"	925	44452	20.80896
	"Arizona"	"04"	"18 years"	"18"	"2015"	"2015"	1640	45135	36.33544
	"Arizona"	"04"	"19 years"	"19"	"2015"	"2015"	2667	44304	60.19772
	"Arizona"	"04"	"20 years"	"20"	"2015"	"2015"	3319	44563	74.47883
	"Arizona"	"04"	"21 years"	"21"	"2015"	"2015"	3742	45626	82.01464
	"Arizona"	"04"	"22 years"	"22"	"2015"	"2015"	4296	46025	93.34058
	"Arizona"	"04"	"23 years"	"23"	"2015"	"2015"	4568	48156	94.85838
	"Arizona"	"04"	"24 years"	"24"	"2015"	"2015"	4739	50209	94.38547
	"Arizona"	"04"	"25 years"	"25"	"2015"	"2015"	4946	49079	100.77630
	"Arizona"	"04"	"26 years"	"26"	"2015"	"2015"	5081	46386	109.53736
	"Arizona"	"04"	"27 years"	"27"	"2015"	"2015"	5077	44179	114.91885
	"Arizona"	"04"	"28 years"	"28"	"2015"	"2015"	5176	42147	122.80827
	"Arizona"	"04"	"29 years"	"29"	"2015"	"2015"	5067	42551	119.08063
	"Arizona"	"04"	"30 years"	"30"	"2015"	"2015"	4784	43549	109.85327
	"Arizona"	"04"	"31 years"	"31"	"2015"	"2015"	4621	42264	109.33655
	"Arizona"	"04"	"32 years"	"32"	"2015"	"2015"	4285	43832	97.75963
	"Arizona"	"04"	"33 years"	"33"	"2015"	"2015"	3862	44132	87.51020
