Year,Age of Mother Year,Age of Mother Year Code,Births,Fertility Rate,State
2008.0,13 years,13.0,31.0,,Alabama
2008.0,14 years,14.0,120.0,,Alabama
2008.0,15 years,15.0,330.0,10.06834,Alabama
2008.0,16 years,16.0,768.0,23.10608,Alabama
2008.0,17 years,17.0,1471.0,44.02215,Alabama
2008.0,18 years,18.0,2468.0,70.4539,Alabama
2008.0,19 years,19.0,3522.0,100.87066,Alabama
2008.0,20 years,20.0,3833.0,113.60066,Alabama
2008.0,21 years,21.0,3953.0,118.44905,Alabama
2008.0,22 years,22.0,4024.0,120.81182,Alabama
2008.0,23 years,23.0,4108.0,125.08373,Alabama
2008.0,24 years,24.0,4062.0,131.03649,Alabama
2008.0,25 years,25.0,3957.0,126.51874,Alabama
2008.0,26 years,26.0,3785.0,120.43018,Alabama
2008.0,27 years,27.0,3845.0,113.74057,Alabama
2008.0,28 years,28.0,3684.0,115.27269,Alabama
2008.0,29 years,29.0,3332.0,113.4491,Alabama
2008.0,30 years,30.0,2963.0,99.46291,Alabama
2008.0,31 years,31.0,2703.0,93.93244,Alabama
2008.0,32 years,32.0,2210.0,77.25112,Alabama
2008.0,33 years,33.0,1892.0,63.55605,Alabama
2008.0,34 years,34.0,1654.0,56.18397,Alabama
2008.0,35 years,35.0,1462.0,48.13644,Alabama
2008.0,36 years,36.0,1145.0,35.9272,Alabama
2008.0,37 years,37.0,1033.0,30.9337,Alabama
2008.0,38 years,38.0,724.0,21.81972,Alabama
2008.0,39 years,39.0,542.0,17.37792,Alabama
2008.0,40 years,40.0,359.0,11.92335,Alabama
2008.0,41 years,41.0,231.0,7.43243,Alabama
2008.0,42 years,42.0,144.0,4.44321,Alabama
2008.0,43 years,43.0,92.0,2.65881,Alabama
2008.0,44 years,44.0,52.0,1.50224,Alabama
2008.0,45 years,45.0,22.0,,Alabama
2008.0,15 years,15.0,27.0,5.19431,Alaska
2008.0,16 years,16.0,90.0,17.11027,Alaska
2008.0,17 years,17.0,184.0,34.08039,Alaska
2008.0,18 years,18.0,333.0,61.26955,Alaska
2008.0,19 years,19.0,501.0,114.04507,Alaska
2008.0,20 years,20.0,604.0,132.22417,Alaska
2008.0,21 years,21.0,640.0,140.19715,Alaska
2008.0,22 years,22.0,708.0,150.92731,Alaska
