County,Year,Fertility Rate
"Ada County, ID",2007.0,2.16974434
"Ada County, ID",2008.0,2.1043314899999994
"Ada County, ID",2009.0,1.92114431
"Ada County, ID",2010.0,1.8454752900000002
"Ada County, ID",2011.0,1.8545739
"Ada County, ID",2012.0,1.7880267499999998
"Ada County, ID",2013.0,1.7354713499999996
"Ada County, ID",2014.0,1.75716837
"Ada County, ID",2015.0,1.7285638500000005
"Adams County, CO",2007.0,2.329250650000001
"Adams County, CO",2008.0,2.28747954
"Adams County, CO",2009.0,2.21834315
"Adams County, CO",2010.0,2.0789120799999994
"Adams County, CO",2011.0,2.02962043
"Adams County, CO",2012.0,2.0035201199999997
"Adams County, CO",2013.0,1.90678511
"Adams County, CO",2014.0,1.9484461199999998
"Adams County, CO",2015.0,1.88611343
"Adams County, PA",2014.0,1.75471747
"Adams County, PA",2015.0,1.81011423
"Aiken County, SC",2007.0,2.0324751099999996
"Aiken County, SC",2008.0,1.9908694999999998
"Aiken County, SC",2009.0,1.00071826
"Aiken County, SC",2010.0,1.9332661000000004
"Aiken County, SC",2011.0,1.7921865499999998
"Aiken County, SC",2012.0,1.68733776
"Aiken County, SC",2013.0,1.7176367600000004
"Aiken County, SC",2014.0,1.8371111300000003
"Aiken County, SC",2015.0,1.90869047
"Alachua County, FL",2007.0,1.4716596699999998
"Alachua County, FL",2008.0,1.5088743999999998
"Alachua County, FL",2009.0,1.4733560700000001
"Alachua County, FL",2010.0,1.42319088
"Alachua County, FL",2011.0,1.5145222600000001
"Alachua County, FL",2012.0,1.4176315699999995
"Alachua County, FL",2013.0,1.38058314
"Alachua County, FL",2014.0,1.4209537300000001
"Alachua County, FL",2015.0,1.3825858800000004
"Alamance County, NC",2007.0,2.0510860500000003
"Alamance County, NC",2008.0,2.03976997
"Alamance County, NC",2009.0,1.8818142299999998
"Alamance County, NC",2010.0,1.86138839
"Alamance County, NC",2011.0,1.6513162900000002
"Alamance County, NC",2012.0,1.7186140399999998
"Alamance County, NC",2013.0,1.7486051700000005
"Alamance County, NC",2014.0,1.7594281000000005
"Alamance County, NC",2015.0,1.7137871199999999
"Alameda County, CA",2007.0,1.9608059600000005
"Alameda County, CA",2008.0,1.8819757599999996
"Alameda County, CA",2009.0,1.79702805
"Alameda County, CA",2010.0,1.6955636599999995
"Alameda County, CA",2011.0,1.6579423199999996
"Alameda County, CA",2012.0,1.6674920899999996
"Alameda County, CA",2013.0,1.6085873
"Alameda County, CA",2014.0,1.58696055
"Alameda County, CA",2015.0,1.5283693300000005
"Albany County, NY",2007.0,1.5353747999999998
"Albany County, NY",2008.0,1.5023277100000003
"Albany County, NY",2009.0,1.49802088
"Albany County, NY",2010.0,1.46278702
"Albany County, NY",2011.0,1.4732318799999997
"Albany County, NY",2012.0,1.47333206
"Albany County, NY",2013.0,1.45683782
"Albany County, NY",2014.0,1.48312109
"Albany County, NY",2015.0,1.46837814
"Alexandria city, VA",2007.0,2.4007297899999993
"Alexandria city, VA",2008.0,2.22818462
"Alexandria city, VA",2009.0,2.01879947
"Alexandria city, VA",2010.0,2.03293334
"Alexandria city, VA",2011.0,1.9013415700000003
"Alexandria city, VA",2012.0,1.95839321
"Alexandria city, VA",2013.0,1.87218867
"Alexandria city, VA",2014.0,1.9139364600000004
"Alexandria city, VA",2015.0,1.8869593100000002
"Allegan County, MI",2007.0,2.382850799999999
"Allegan County, MI",2008.0,2.296021370000001
"Allegan County, MI",2009.0,2.3433179299999995
"Allegan County, MI",2010.0,2.1533371299999997
"Allegan County, MI",2011.0,2.1549408599999995
"Allegan County, MI",2012.0,2.1548130499999996
"Allegan County, MI",2013.0,2.04303577
"Allegan County, MI",2014.0,2.1322558
"Allegan County, MI",2015.0,2.0703500100000003
"Allegheny County, PA",2007.0,1.7430635899999998
"Allegheny County, PA",2008.0,1.7167940700000002
"Allegheny County, PA",2009.0,1.6762616600000002
"Allegheny County, PA",2010.0,1.6399118600000002
"Allegheny County, PA",2011.0,1.6366239200000001
"Allegheny County, PA",2012.0,1.6041725899999997
"Allegheny County, PA",2013.0,1.60379347
"Allegheny County, PA",2014.0,1.5834335600000005
"Allegheny County, PA",2015.0,1.56831047
"Allen County, IN",2007.0,2.3053756500000007
"Allen County, IN",2008.0,2.32389021
"Allen County, IN",2009.0,2.29226124
"Allen County, IN",2010.0,2.2150042700000006
"Allen County, IN",2011.0,2.1747809900000004
"Allen County, IN",2012.0,2.1525889299999994
"Allen County, IN",2013.0,2.0601195700000003
"Allen County, IN",2014.0,2.11828082
"Allen County, IN",2015.0,2.09485597
"Allen County, OH",2007.0,2.1810637000000006
"Allen County, OH",2008.0,2.1225805899999997
"Allen County, OH",2009.0,2.15586192
"Allen County, OH",2010.0,2.03972694
"Allen County, OH",2011.0,1.9869667499999994
